407,909,V,CUB,RDEMPSTER-R,0,0,0,0,2,0,0,0,0,2,140,123,8.5,-110,8,-115
407,910,H,ATL,JJURRJENS-R,0,1,0,0,0,0,0,2,x,3,-160,-143,8.5,-110,8,-105
407,911,V,STL,WAINWRIGHT-R,0,1,1,0,0,0,4,0,0,6,-125,-144,8,-110,8,-130
407,912,H,CIN,JCUETO-R,0,0,0,0,0,2,0,1,0,3,105,124,8,-110,8,110
407,913,V,MIA,RNOLASCO-R,1,0,2,0,1,1,1,0,0,7,-110,-132,8.5,-110,8.5,-105
407,914,H,NYM,JMAINE-R,1,0,0,0,0,0,2,3,0,6,-110,112,8.5,-110,8.5,-115
407,915,V,SDG,KCORREIA-R,0,3,0,0,0,0,0,0,0,3,101,111,9.5,-115,9.5,-105
407,916,H,ARI,IKENNEDY-R,1,0,0,0,2,1,0,1,x,5,-121,-131,9.5,-105,9.5,-115
407,917,V,NYY,APETTITTE-L,0,0,0,0,0,0,1,0,0,3,115,118,10,-120,10,-105
407,918,H,BOS,JLACKEY-R,0,0,1,0,0,0,0,0,0,1,-135,-138,10,100,10,-115
407,919,V,BAL,JGUTHRIE-R,2,0,0,0,0,0,0,0,1,3,165,190,9,-115,9,-125
407,920,H,TAM,MGARZA-R,0,0,0,1,2,0,0,1,x,4,-185,-220,9,-105,9,105
407,921,V,TOR,BTALLET-L,0,0,1,2,2,0,1,0,1,7,138,156,9,-120,9,-110
407,922,H,TEX,RHARDEN-R,1,0,0,2,0,0,1,0,0,4,-158,-176,9,100,9,-110
407,923,V,CLE,FCARMONA-R,0,0,0,3,0,0,1,0,1,5,145,130,8.5,-115,8,105
407,924,H,CWS,JPEAVY-R,1,0,2,0,0,0,0,0,0,3,-165,-150,8.5,-105,8,-125
407,925,V,DET,MSCHERZER-R,0,0,0,0,0,0,0,0,1,2,-118,-127,9,-105,8.5,-105
407,926,H,KAN,LHOCHEVAR-R,0,0,0,0,0,0,1,0,0,3,-102,107,9,-115,8.5,-115
407,927,V,MIN,CPAVANO-R,0,0,0,2,2,0,0,0,0,4,110,115,9.5,-115,9.5,-115
407,928,H,LAA,ESANTANA-R,0,0,0,0,0,1,0,0,1,2,-130,-135,9.5,-105,9.5,-105
407,929,V,SEA,RWLND-SMTH-L,2,0,0,0,2,1,0,0,0,5,-105,102,8,-105,7.5,100
407,930,H,OAK,DUCHSHERER-R,1,0,1,1,1,0,1,0,1,6,-105,-122,8,-115,7.5,-120
408,951,V,LOS,BILLNGSLEY-R,1,0,1,0,2,0,4,0,2,10,124,-144,8.5,100,8,-110
408,952,H,PIT,PMAHOLM-L,0,0,0,0,0,1,0,1,0,2,-144,124,8.5,-120,8,-110
408,953,V,STL,BPENNY-R,0,0,0,0,0,0,1,0,0,1,-110,-107,8.5,-110,9,-120
408,954,H,CIN,BARROYO-R,0,0,0,0,1,0,0,0,1,2,-110,-113,8.5,-110,9,100
408,955,V,PHI,KKENDRICK-R,0,1,1,0,2,1,0,0,0,5,-150,-153,9.5,-115,10.5,-125
408,956,H,WAS,CSTAMMEN-R,3,0,0,2,0,0,1,0,x,6,130,133,9.5,-105,10.5,105
408,957,V,CUB,RWELLS-R,0,1,0,1,0,0,0,0,0,2,148,154,8,-105,8,-105
408,958,H,ATL,THANSON-R,0,0,0,0,0,0,0,0,0,0,-168,-174,8,-115,8,-115
408,959,V,MIA,ROBERTSON-L,1,0,0,0,1,1,0,0,0,3,-105,-106,9,-105,9,-115
408,960,H,NYM,JNIESE-L,0,0,0,1,0,0,0,0,0,1,-105,-114,9,-115,9,-105
408,961,V,TOR,RROMERO-L,0,0,0,0,0,0,0,0,3,3,110,131,9,105,9,100
408,962,H,TEX,CWILSON-L,0,0,0,0,0,0,1,0,0,1,-130,-151,9,-125,9,-120
408,963,V,DET,DWILLIS-L,0,0,0,0,0,1,0,3,3,7,-105,-101,9.5,100,9,-120
408,964,H,KAN,BBANNISTR-R,1,0,1,0,0,0,0,1,0,3,-105,-119,9.5,-120,9,100
408,965,V,SEA,DFISTER-R,0,0,0,0,0,0,0,0,2,2,125,131,8,-105,8,-105
408,966,H,OAK,BANDERSON-L,0,0,1,1,0,2,0,2,x,6,-145,-151,8,-115,8,-115
